X [],R.RA: EMG 1 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.ES: EMG 2 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.IL: EMG 3 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.GMax: EMG 4 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.RF: EMG 5 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.BF: EMG 6 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.TA&IO: EMG 7 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.MF: EMG 8 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS []
0.2,0.04754165,0.019290888,0.173615635,0.027116105,0.025961912,0.070387454,0.316008875,0.033448161
0.21,0.047785453,0.019672131,0.174918567,0.028264669,0.025961912,0.072509225,0.317353594,0.03533726
0.22,0.047866721,0.01974838,0.1752443,0.02906367,0.026117373,0.090221402,0.32138775,0.035781754
0.23,0.048516863,0.01974838,0.175570033,0.029113608,0.026117373,0.093173432,0.32138775,0.035892877
0.24,0.049085738,0.019824628,0.175895766,0.029263421,0.026195103,0.094095941,0.32138775,0.036004
0.25,0.049248273,0.019824628,0.177850163,0.029513109,0.026195103,0.094095941,0.32138775,0.036115124
0.26,0.047704185,0.019443385,0.177198697,0.030162297,0.026195103,0.093173432,0.318698312,0.036670741
0.27,0.047866721,0.019977125,0.172638437,0.030362047,0.025884182,0.093173432,0.306595845,0.038670963
0.28,0.047460382,0.020205871,0.170032573,0.030661673,0.025495531,0.093173432,0.310630001,0.040226692
0.29,0.046972775,0.020205871,0.165472313,0.030861423,0.025106879,0.093173432,0.310630001,0.040115568
0.3,0.046891508,0.02028212,0.163192182,0.031210986,0.024018655,0.093173432,0.309285282,0.040337815
0.31,0.046485169,0.020358368,0.162540717,0.032059925,0.023474543,0.093173432,0.310630001,0.040782309
0.32,0.04607883,0.020510865,0.166123779,0.032409488,0.023008162,0.093173432,0.316008875,0.041337926
0.33,0.045022349,0.020510865,0.166123779,0.032858926,0.02254178,0.093173432,0.318698312,0.041337926
0.34,0.044128403,0.020510865,0.166775244,0.033058677,0.022075398,0.093173432,0.318698312,0.04144905
0.35,0.043478261,0.020587114,0.16742671,0.033108614,0.021997668,0.093173432,0.317353594,0.04144905
0.36,0.042909386,0.020587114,0.165798046,0.033508115,0.021531286,0.09501845,0.317353594,0.041560173
0.37,0.042584315,0.020587114,0.166449511,0.033707865,0.021298096,0.097785978,0.309285282,0.04178242
0.38,0.042259244,0.020587114,0.166449511,0.032908864,0.020987175,0.098708487,0.314664157,0.041893544
0.39,0.04242178,0.020739611,0.166123779,0.031460674,0.020753984,0.098708487,0.326766624,0.041893544
0.4,0.042503048,0.020892108,0.166123779,0.030911361,0.020520793,0.098708487,0.328111343,0.040893433
0.41,0.042015441,0.020892108,0.167752443,0.030811486,0.01982122,0.098708487,0.326766624,0.040671186
0.42,0.041202763,0.020892108,0.16742671,0.030961298,0.018966187,0.098708487,0.329456061,0.040893433
0.43,0.04095896,0.020892108,0.168403909,0.030961298,0.017877964,0.098708487,0.34021381,0.041004556
0.44,0.040471353,0.020892108,0.169381108,0.031360799,0.017489312,0.098708487,0.341558529,0.040893433
0.45,0.040471353,0.020892108,0.168403909,0.031410737,0.017256121,0.098708487,0.34021381,0.041004556
0.46,0.041202763,0.020892108,0.165472313,0.031510612,0.0169452,0.098708487,0.34021381,0.040893433
0.47,0.042096709,0.018223408,0.165472313,0.031560549,0.016634279,0.098708487,0.342903248,0.040893433
0.48,0.041852905,0.017232177,0.166449511,0.031560549,0.016012437,0.098708487,0.338869092,0.041226803
0.49,0.041446566,0.01707968,0.164169381,0.031660425,0.015546055,0.098708487,0.325421906,0.042449161
0.5,0.041040228,0.016774686,0.161237785,0.031910112,0.015312864,0.098708487,0.325421906,0.042560285
0.51,0.041284031,0.016698437,0.159609121,0.031910112,0.014768752,0.098708487,0.322732468,0.042560285
0.52,0.040796424,0.016698437,0.157003257,0.031810237,0.01414691,0.098708487,0.32138775,0.042338038
0.53,0.040471353,0.016698437,0.154397394,0.031360799,0.01406918,0.098708487,0.329456061,0.042338038
0.54,0.040633889,0.016698437,0.15276873,0.031560549,0.01414691,0.098708487,0.346937403,0.042338038
0.55,0.040633889,0.016698437,0.151140065,0.031610487,0.014224641,0.098708487,0.344247966,0.042338038
0.56,0.041934173,0.016774686,0.148208469,0.031910112,0.01406918,0.098708487,0.341558529,0.042560285
0.57,0.04315319,0.016774686,0.147882736,0.032309613,0.01414691,0.098708487,0.337524373,0.042782531
0.58,0.042909386,0.016698437,0.145602606,0.032559301,0.01406918,0.098708487,0.334834936,0.042004667
0.59,0.042909386,0.015630957,0.143322476,0.032059925,0.01414691,0.098708487,0.332145499,0.039671075
0.6,0.043559529,0.015554708,0.141368078,0.031061174,0.01406918,0.098708487,0.328111343,0.039448828
0.61,0.043640796,0.015707206,0.140065147,0.030961298,0.01406918,0.098708487,0.326766624,0.039337704
0.62,0.0438846,0.015707206,0.137459283,0.031410737,0.01414691,0.099630996,0.324077187,0.039226581
0.63,0.043234458,0.015707206,0.134201954,0.032059925,0.01414691,0.105166052,0.322732468,0.038448717
0.64,0.04315319,0.015630957,0.135179153,0.0321598,0.01406918,0.100553506,0.310630001,0.037893099
0.65,0.04315319,0.014715974,0.141042345,0.032059925,0.01414691,0.09501845,0.307940563,0.036892988
0.66,0.043478261,0.014258483,0.14267101,0.032009988,0.01399145,0.091051661,0.307940563,0.037115235
0.67,0.043315725,0.01387724,0.144625407,0.032259675,0.01399145,0.090590406,0.306595845,0.037004112
0.68,0.043315725,0.013724743,0.146254072,0.032459426,0.013913719,0.090590406,0.307940563,0.037004112
0.69,0.043559529,0.013724743,0.150488599,0.032659176,0.013835989,0.090405904,0.311974719,0.036670741
0.7,0.044047135,0.0133435,0.149837134,0.032359551,0.013758259,0.087915129,0.311974719,0.036004
0.71,0.043965868,0.013038506,0.148859935,0.031460674,0.013758259,0.086254613,0.311974719,0.034226025
0.72,0.044209671,0.013419748,0.149511401,0.030761548,0.013602798,0.068357934,0.310630001,0.035115013
0.73,0.043803332,0.013953488,0.151140065,0.030961298,0.013602798,0.066512915,0.313319438,0.036004
0.74,0.043234458,0.014029737,0.153420195,0.030961298,0.013525068,0.066512915,0.317353594,0.036670741
0.75,0.043396993,0.014029737,0.15276873,0.030811486,0.013525068,0.066236162,0.317353594,0.036670741
0.76,0.042096709,0.013648494,0.154723127,0.030362047,0.013369608,0.066236162,0.318698312,0.036670741
0.77,0.041040228,0.012733511,0.157654723,0.030362047,0.013291877,0.066328413,0.318698312,0.034781642
0.78,0.040715156,0.012199771,0.160260586,0.03031211,0.013291877,0.066605166,0.32138775,0.033114791
0.79,0.040877692,0.01227602,0.160586319,0.030212235,0.013447338,0.06697417,0.326766624,0.034114902
0.8,0.041121495,0.012886008,0.160260586,0.029912609,0.013447338,0.067066421,0.329456061,0.037448605
0.81,0.041365299,0.012733511,0.160260586,0.02906367,0.013369608,0.067250923,0.328111343,0.037893099
0.82,0.041852905,0.012657263,0.155700326,0.028714107,0.013602798,0.067435424,0.32138775,0.037337482
0.83,0.042096709,0.012733511,0.155700326,0.028114856,0.013525068,0.067343173,0.320043031,0.037226359
0.84,0.04242178,0.01280976,0.15504886,0.027865169,0.013525068,0.067343173,0.320043031,0.037337482
0.85,0.042340512,0.01280976,0.154071661,0.027815231,0.013602798,0.067250923,0.318698312,0.037337482
0.86,0.042259244,0.01280976,0.154071661,0.027565543,0.013680529,0.063929889,0.318698312,0.037226359
0.87,0.042177976,0.012886008,0.154723127,0.02741573,0.013680529,0.059778598,0.320043031,0.037559729
0.88,0.041771638,0.012886008,0.154723127,0.027265918,0.013602798,0.058856089,0.313319438,0.038004223
0.89,0.041527834,0.012657263,0.156677524,0.026966292,0.013602798,0.058763838,0.30121697,0.037781976
0.9,0.041365299,0.012123523,0.156351792,0.026916355,0.013602798,0.058394834,0.30121697,0.037448605
0.91,0.041365299,0.012123523,0.156677524,0.027066167,0.013447338,0.058394834,0.306595845,0.037893099
0.92,0.04095896,0.012199771,0.164169381,0.027066167,0.013447338,0.058302583,0.305251126,0.03822647
0.93,0.041040228,0.012352268,0.163192182,0.027066167,0.013369608,0.058302583,0.293148659,0.038337593
0.94,0.041284031,0.012428517,0.160912052,0.025667915,0.013369608,0.058302583,0.289114503,0.038448717
0.95,0.041284031,0.013038506,0.161237785,0.026117353,0.013214147,0.058394834,0.289114503,0.039004334
0.96,0.040308818,0.0133435,0.161889251,0.025967541,0.013058686,0.058487085,0.289114503,0.039448828
0.97,0.039171069,0.013495997,0.159283388,0.026067416,0.013136417,0.058671587,0.28239091,0.039782198
0.98,0.039008533,0.013495997,0.158631922,0.026267166,0.013136417,0.058671587,0.279701473,0.039893322
0.99,0.038927265,0.013419748,0.157654723,0.026117353,0.013291877,0.058671587,0.278356754,0.03855984
1,0.038439659,0.013419748,0.15732899,0.025817728,0.013291877,0.058487085,0.278356754,0.038670963
1.01,0.036407964,0.013572246,0.157654723,0.025667915,0.013369608,0.058302583,0.281046191,0.03889321
1.02,0.036082893,0.013800991,0.158306189,0.025468165,0.013214147,0.058210332,0.279701473,0.039226581
1.03,0.035920358,0.013953488,0.157654723,0.025318352,0.013291877,0.058210332,0.268943724,0.039226581
1.04,0.03583909,0.014029737,0.156351792,0.025418227,0.013291877,0.058210332,0.246083507,0.039337704
1.05,0.03583909,0.014029737,0.163192182,0.025717853,0.013058686,0.058210332,0.247428226,0.039226581
1.06,0.033969931,0.013953488,0.167100977,0.02576779,0.013058686,0.058210332,0.247428226,0.039004334
1.07,0.031938237,0.013953488,0.165472313,0.025168539,0.012670035,0.058118081,0.244738788,0.038448717
1.08,0.031531898,0.013953488,0.16514658,0.024769039,0.012514574,0.058210332,0.244738788,0.038337593
1.09,0.031531898,0.01387724,0.16514658,0.024968789,0.012592305,0.05802583,0.244738788,0.038337593
1.1,0.030231613,0.013495997,0.164495114,0.024968789,0.012670035,0.057841328,0.246083507,0.03822647
1.11,0.030069078,0.013267251,0.164169381,0.024769039,0.012670035,0.057656827,0.247428226,0.038670963
1.12,0.030312881,0.0133435,0.163843648,0.024169788,0.012514574,0.056642066,0.247428226,0.038670963
1.13,0.030069078,0.013724743,0.164495114,0.024019975,0.012592305,0.044372694,0.248772944,0.03889321
1.14,0.030475417,0.013800991,0.163843648,0.024519351,0.012592305,0.037546126,0.251462382,0.039004334
1.15,0.031288094,0.013800991,0.159283388,0.024519351,0.012436844,0.033302583,0.250117663,0.039004334
1.16,0.031938237,0.013800991,0.158306189,0.024519351,0.012825496,0.033210332,0.251462382,0.038670963
1.17,0.031938237,0.013800991,0.159609121,0.024319601,0.012747765,0.033302583,0.2528071,0.038670963
1.18,0.031938237,0.013800991,0.157654723,0.024169788,0.012747765,0.033302583,0.251462382,0.03855984
1.19,0.031775701,0.013724743,0.154397394,0.023620474,0.012592305,0.033394834,0.268943724,0.038337593
1.2,0.031775701,0.013724743,0.154397394,0.023320849,0.012514574,0.033302583,0.268943724,0.038337593
1.21,0.032263308,0.013648494,0.158306189,0.023370787,0.012514574,0.033210332,0.272977879,0.03822647
1.22,0.032100772,0.013114754,0.157654723,0.023420724,0.012592305,0.031826568,0.274322598,0.037226359
1.23,0.032669647,0.012504766,0.156351792,0.023121099,0.012670035,0.026476015,0.275667317,0.036226247
1.24,0.032750914,0.012428517,0.155374593,0.023071161,0.012747765,0.024446495,0.272977879,0.03567063
1.25,0.033563592,0.012504766,0.154723127,0.023071161,0.012825496,0.024077491,0.272977879,0.036004
1.26,0.034620073,0.012504766,0.154723127,0.022821473,0.012825496,0.024077491,0.274322598,0.035892877
1.27,0.034701341,0.012504766,0.152117264,0.022621723,0.012903226,0.023892989,0.274322598,0.035559507
1.28,0.034863877,0.012504766,0.149185668,0.02247191,0.012903226,0.022878229,0.268943724,0.035559507
1.29,0.035026412,0.012352268,0.148859935,0.022421973,0.012747765,0.021678967,0.259530693,0.034559396
1.3,0.034863877,0.01174228,0.154071661,0.022322097,0.012980956,0.021586716,0.258185975,0.030670075
1.31,0.035188948,0.011589783,0.170684039,0.02227216,0.012980956,0.020756458,0.260875412,0.029669963
1.32,0.034945144,0.011437286,0.171986971,0.022322097,0.012903226,0.020295203,0.26222013,0.029447716
1.33,0.03510768,0.011361037,0.171986971,0.022421973,0.012980956,0.020387454,0.264909568,0.02955884
1.34,0.035757822,0.011284788,0.173941368,0.022871411,0.013136417,0.020387454,0.267599005,0.029781087
1.35,0.036001625,0.011132291,0.1752443,0.022921348,0.013058686,0.020387454,0.271633161,0.029669963
1.36,0.03583909,0.011132291,0.1752443,0.022621723,0.013136417,0.020110701,0.270288442,0.029669963
1.37,0.035757822,0.011056043,0.174592834,0.02247191,0.013136417,0.020387454,0.274322598,0.029003223
1.38,0.035920358,0.010979794,0.179478827,0.022621723,0.013291877,0.020387454,0.287769784,0.027891988
1.39,0.035757822,0.011056043,0.178501629,0.022821473,0.013291877,0.020387454,0.285080347,0.027669741
1.4,0.035595287,0.012047274,0.179153095,0.02267166,0.013291877,0.02001845,0.285080347,0.028003112
1.41,0.035920358,0.013114754,0.178827362,0.022621723,0.013369608,0.020110701,0.279701473,0.028114235
1.42,0.037220642,0.013191003,0.172638437,0.022571785,0.013369608,0.020110701,0.281046191,0.027447494
1.43,0.037708249,0.0133435,0.172312704,0.022521848,0.013214147,0.02001845,0.281046191,0.027114124
1.44,0.037870784,0.0133435,0.174267101,0.02227216,0.013291877,0.019649447,0.281046191,0.026558507
1.45,0.038683462,0.01280976,0.176221498,0.021323346,0.013525068,0.019557196,0.283735628,0.025558395
1.46,0.040308818,0.012428517,0.177850163,0.021722846,0.013680529,0.019372694,0.29180394,0.024891655
1.47,0.040877692,0.012352268,0.181758958,0.022122347,0.013602798,0.018726937,0.298527533,0.024558284
1.48,0.041446566,0.01227602,0.183713355,0.022172285,0.013602798,0.018542435,0.299872252,0.02411379
1.49,0.041771638,0.01227602,0.183713355,0.022571785,0.013525068,0.018542435,0.302561689,0.02411379
1.5,0.041852905,0.012199771,0.184690554,0.022721598,0.013525068,0.018726937,0.303906408,0.024002667
1.51,0.041771638,0.012047274,0.185016287,0.022821473,0.013758259,0.018634686,0.303906408,0.023558173
1.52,0.041934173,0.011818528,0.185016287,0.022771536,0.013680529,0.018450185,0.307940563,0.023002556
1.53,0.042177976,0.011589783,0.185667752,0.022521848,0.013680529,0.018265683,0.309285282,0.022558062
1.54,0.042259244,0.011513534,0.191856678,0.021822722,0.013602798,0.018265683,0.310630001,0.022224692
1.55,0.042503048,0.011513534,0.187947883,0.021423221,0.013680529,0.018357934,0.310630001,0.022113568
1.56,0.042665583,0.011513534,0.186970684,0.021722846,0.013680529,0.018542435,0.311974719,0.022224692
1.57,0.042828119,0.011513534,0.188273616,0.022621723,0.013680529,0.018450185,0.314664157,0.022780309
1.58,0.043234458,0.011513534,0.187947883,0.022621723,0.013680529,0.018542435,0.313319438,0.023002556
1.59,0.043396993,0.011513534,0.187947883,0.02247191,0.013525068,0.018542435,0.314664157,0.022780309
1.6,0.043965868,0.011589783,0.188599349,0.022571785,0.013525068,0.018634686,0.314664157,0.023113679
1.61,0.044128403,0.011589783,0.190228013,0.022621723,0.013447338,0.018819188,0.313319438,0.022446939
1.62,0.044209671,0.011437286,0.189576547,0.022621723,0.013447338,0.019188192,0.318698312,0.022002445
1.63,0.044372206,0.010979794,0.188925081,0.021772784,0.013369608,0.019464945,0.318698312,0.021335704
1.64,0.043965868,0.010827297,0.187947883,0.020774033,0.013369608,0.019464945,0.317353594,0.021113457
1.65,0.043478261,0.010903546,0.188273616,0.020873908,0.013369608,0.020110701,0.316008875,0.021113457
1.66,0.042746851,0.010903546,0.189576547,0.020973783,0.012980956,0.020202952,0.316008875,0.021335704
1.67,0.043315725,0.010903546,0.18762215,0.020873908,0.012980956,0.019833948,0.318698312,0.022002445
1.68,0.044209671,0.010979794,0.188599349,0.021273408,0.012903226,0.019926199,0.324077187,0.022669186
1.69,0.044453474,0.010979794,0.188599349,0.021573034,0.013058686,0.019926199,0.305251126,0.023113679
1.7,0.044453474,0.011056043,0.188273616,0.02227216,0.013058686,0.02001845,0.303906408,0.023335926
1.71,0.044534742,0.011056043,0.185016287,0.022222222,0.013058686,0.02001845,0.299872252,0.023224803
1.72,0.044453474,0.011056043,0.186644951,0.022222222,0.013369608,0.019741697,0.298527533,0.023224803
1.73,0.044209671,0.011056043,0.18762215,0.022571785,0.013369608,0.019557196,0.294493377,0.02344705
1.74,0.044209671,0.011056043,0.186644951,0.02267166,0.013447338,0.019372694,0.293148659,0.023224803
1.75,0.043478261,0.010979794,0.185993485,0.022721598,0.013447338,0.019464945,0.293148659,0.022335815
1.76,0.042990654,0.010979794,0.183387622,0.022821473,0.013758259,0.019557196,0.293148659,0.021891321
1.77,0.042909386,0.010903546,0.182410424,0.022771536,0.013758259,0.02001845,0.294493377,0.022335815
1.78,0.042746851,0.011437286,0.182736156,0.022621723,0.013835989,0.020387454,0.295838096,0.022446939
1.79,0.042503048,0.011513534,0.18534202,0.022821473,0.01399145,0.020387454,0.297182815,0.022891432
1.8,0.042584315,0.011666031,0.183061889,0.024319601,0.013680529,0.020387454,0.297182815,0.023669297
1.81,0.042665583,0.01174228,0.16742671,0.02536829,0.013758259,0.020387454,0.295838096,0.024002667
1.82,0.042503048,0.011894777,0.166449511,0.025717853,0.013758259,0.020295203,0.295838096,0.024002667
1.83,0.042259244,0.012352268,0.16970684,0.025717853,0.013758259,0.020202952,0.30121697,0.024002667
1.84,0.041365299,0.012504766,0.171009772,0.025468165,0.01406918,0.020295203,0.299872252,0.024002667
1.85,0.041121495,0.012657263,0.170684039,0.025418227,0.015157404,0.020664207,0.30121697,0.02411379
1.86,0.04095896,0.012886008,0.170358306,0.025468165,0.015312864,0.020664207,0.302561689,0.024669408
1.87,0.041040228,0.012886008,0.171661238,0.025468165,0.015468325,0.020479705,0.298527533,0.025113902
1.88,0.04095896,0.012886008,0.16742671,0.025318352,0.015546055,0.020571956,0.287769784,0.025225025
1.89,0.041121495,0.01280976,0.166449511,0.025168539,0.015546055,0.020848709,0.29180394,0.025225025
1.9,0.041446566,0.011971026,0.16742671,0.025118602,0.015546055,0.020848709,0.289114503,0.025558395
1.91,0.041609102,0.010827297,0.167752443,0.025068664,0.016478819,0.02103321,0.293148659,0.025336149
1.92,0.04095896,0.010751048,0.170032573,0.025068664,0.016634279,0.02103321,0.298527533,0.025891766
1.93,0.041365299,0.010522303,0.170684039,0.025518102,0.016712009,0.021217712,0.298527533,0.026114013
1.94,0.042909386,0.010522303,0.168729642,0.025867665,0.01678974,0.021309963,0.302561689,0.02633626
1.95,0.042584315,0.010446054,0.167752443,0.025817728,0.01678974,0.021217712,0.30121697,0.02666963
1.96,0.041121495,0.010369806,0.166775244,0.025667915,0.017100661,0.021217712,0.294493377,0.027114124
1.97,0.040471353,0.010446054,0.163517915,0.025168539,0.017100661,0.021217712,0.287769784,0.027225247
1.98,0.040065014,0.010522303,0.163517915,0.024968789,0.017256121,0.021309963,0.289114503,0.027558618
1.99,0.04022755,0.010598551,0.163192182,0.024619226,0.017489312,0.021402214,0.29180394,0.027891988
2,0.039902479,0.0106748,0.163843648,0.024569288,0.017955694,0.021217712,0.29180394,0.027891988
2.01,0.040146282,0.0106748,0.164495114,0.024519351,0.017955694,0.021217712,0.290459221,0.028003112
2.02,0.040065014,0.010751048,0.16514658,0.024619226,0.018188885,0.021402214,0.287769784,0.028225358
2.03,0.039902479,0.010751048,0.164495114,0.024719101,0.018266615,0.021402214,0.286425066,0.028336482
2.04,0.039658675,0.010751048,0.158306189,0.024719101,0.018266615,0.021402214,0.293148659,0.028447605
2.05,0.03949614,0.010903546,0.157003257,0.024569288,0.018266615,0.021309963,0.295838096,0.029781087
2.06,0.039414872,0.011056043,0.156026059,0.02411985,0.018266615,0.021217712,0.294493377,0.030336704
2.07,0.03949614,0.011284788,0.156351792,0.023270911,0.018422075,0.021217712,0.30121697,0.030114457
2.08,0.039577408,0.011437286,0.156677524,0.023320849,0.018499806,0.020940959,0.299872252,0.030336704
2.09,0.039821211,0.011589783,0.156677524,0.023171036,0.018499806,0.020940959,0.298527533,0.030447828
2.1,0.039252336,0.011589783,0.156351792,0.022971286,0.018422075,0.021125461,0.298527533,0.030336704
2.11,0.039252336,0.011666031,0.155374593,0.023021224,0.018499806,0.021217712,0.297182815,0.030447828
2.12,0.038845998,0.011666031,0.155374593,0.023220974,0.018655266,0.021125461,0.294493377,0.031003445
2.13,0.03876473,0.011666031,0.155374593,0.023370787,0.018810727,0.020940959,0.298527533,0.031336815
2.14,0.039171069,0.011666031,0.155700326,0.023420724,0.018888457,0.020940959,0.297182815,0.031781309
2.15,0.039658675,0.011666031,0.154723127,0.023270911,0.018888457,0.020387454,0.297182815,0.031670186
2.16,0.039577408,0.011666031,0.15276873,0.023071161,0.018888457,0.020571956,0.298527533,0.031559062
2.17,0.039089801,0.011666031,0.153420195,0.023171036,0.018966187,0.020848709,0.298527533,0.032003556
2.18,0.038114588,0.011666031,0.153745928,0.022871411,0.019043918,0.020940959,0.295838096,0.031892433
2.19,0.03803332,0.011589783,0.157003257,0.022571785,0.018888457,0.021125461,0.297182815,0.031559062
2.2,0.037789517,0.011589783,0.158306189,0.021972534,0.018966187,0.021494465,0.298527533,0.032003556
2.21,0.037383178,0.011894777,0.159609121,0.022022472,0.019277108,0.021586716,0.298527533,0.032225803
2.22,0.037626981,0.012123523,0.158631922,0.021972534,0.019199378,0.021771218,0.297182815,0.03244805
2.23,0.037789517,0.01227602,0.161889251,0.021772784,0.019199378,0.02195572,0.297182815,0.032559173
2.24,0.037870784,0.012428517,0.161563518,0.021922597,0.019121648,0.021863469,0.30121697,0.032892544
2.25,0.037870784,0.012504766,0.161563518,0.022172285,0.019121648,0.021678967,0.299872252,0.033003667
2.26,0.037870784,0.012504766,0.161563518,0.022122347,0.018888457,0.021494465,0.298527533,0.033225914
2.27,0.038195855,0.012504766,0.16286645,0.022421973,0.018966187,0.020940959,0.299872252,0.033670408
2.28,0.038358391,0.012123523,0.164169381,0.022521848,0.018888457,0.020664207,0.298527533,0.033781531
2.29,0.038520927,0.012047274,0.162214984,0.022322097,0.018732997,0.020664207,0.298527533,0.033892655
2.3,0.038520927,0.012047274,0.159934853,0.020774033,0.018732997,0.020664207,0.302561689,0.033337037
2.31,0.038277123,0.011971026,0.161889251,0.019475655,0.018655266,0.020664207,0.302561689,0.033114791
2.32,0.038439659,0.011894777,0.163192182,0.019076155,0.018655266,0.020664207,0.30121697,0.034337149
2.33,0.038358391,0.011437286,0.162540717,0.019026217,0.018732997,0.020664207,0.295838096,0.034781642
2.34,0.038845998,0.011284788,0.159934853,0.019026217,0.018344345,0.020571956,0.294493377,0.034559396
2.35,0.039008533,0.011056043,0.160912052,0.019026217,0.017411582,0.020479705,0.289114503,0.034559396
2.36,0.039577408,0.010827297,0.160912052,0.019575531,0.017256121,0.020571956,0.289114503,0.034226025
2.37,0.039658675,0.011056043,0.158631922,0.019975031,0.01702293,0.02103321,0.289114503,0.034114902
2.38,0.039658675,0.01120854,0.157654723,0.019975031,0.01686747,0.021125461,0.289114503,0.034337149
2.39,0.039577408,0.011513534,0.165472313,0.020374532,0.01678974,0.020756458,0.294493377,0.035892877
2.4,0.039252336,0.011666031,0.164495114,0.020474407,0.01686747,0.020848709,0.293148659,0.035448383
2.41,0.039008533,0.01174228,0.165798046,0.020374532,0.016090167,0.021771218,0.29180394,0.03533726
2.42,0.038845998,0.01174228,0.165472313,0.02082397,0.015934707,0.021863469,0.285080347,0.035115013
2.43,0.037870784,0.011666031,0.169055375,0.020524345,0.015856976,0.026937269,0.285080347,0.035115013
2.44,0.035676554,0.01174228,0.16970684,0.020224719,0.015701516,0.034409594,0.283735628,0.035115013
2.45,0.035188948,0.01174228,0.168403909,0.020424469,0.015623786,0.035424354,0.28239091,0.034892766
2.46,0.035432751,0.01174228,0.169055375,0.020524345,0.015157404,0.035424354,0.286425066,0.034559396
2.47,0.035514019,0.01174228,0.170032573,0.020674157,0.015157404,0.036070111,0.289114503,0.034892766
2.48,0.0365705,0.011666031,0.168403909,0.020774033,0.015001943,0.046309963,0.285080347,0.035559507
2.49,0.036489232,0.012047274,0.168729642,0.020774033,0.014613292,0.046586716,0.278356754,0.036337371
2.5,0.0365705,0.01227602,0.167100977,0.020724095,0.01406918,0.046863469,0.274322598,0.036781865
2.51,0.036326697,0.012352268,0.169055375,0.020774033,0.013835989,0.047324723,0.277012035,0.036781865
2.52,0.036245429,0.01227602,0.167752443,0.020774033,0.013525068,0.047601476,0.275667317,0.036559618
2.53,0.036326697,0.01227602,0.169055375,0.021123596,0.013369608,0.047601476,0.275667317,0.036559618
